#Name,Mackerel,Lavender,Resin,Olive,Grapes,Flax,Murex Snail,Sandarac,Oyster,Sturgeon,Marble,Iron,Mineral,Gold Ore,Mountains,Rivers,Size
S,1,1,,,,,,,1,,,1,,1,8,13,XL
030,,,1,1,,,1,,,1,,1,,,4,7,M
135,1,,,,,1,,1,,,,1,1,,6,7,L
100,1,,,,1,,,1,,,1,,1,,3,0,S
N,1,1,,,,,1,,,1,,1,,,6,10,XL
E,1,1,,,1,,,,1,,,1,,,7,9,XL
W,1,1,,,1,1,,,,,,1,,,6,13,XL
000,,,1,1,1,1,,,,,,1,,,6,0,M
010,,1,,,,1,,1,,,1,,1,,3,0,S
045,,1,,,,1,,1,,,1,,1,,3,0,S
090,,,1,1,,,,,1,,1,,,1,5,8,L
160,,1,,,,,1,1,,,,1,1,,4,0,S
200,,,1,1,1,,,,,1,1,,,,5,12,L
225,,1,,,,,,1,1,,,1,1,,3,0,S
270,,,1,1,,1,,,1,,,1,,,6,7,L
290,,,1,1,,,1,,,,,1,,1,6,5,M
315,,,1,1,1,,1,,,,1,,,,4,2,S
340,1,,,,,,,1,,,1,,1,1,5,2,M
