#Name,Mackerel,Lavender,Resin,Olive,Grapes,Flax,Murex Snail,Sandarac,Oyster,Sturgeon,Marble,Iron,Mineral,Gold Ore,Mountains,Rivers,Size
W,,1,,,1,,1,,,1,,1,,1,9,13,XL
200,1,,,,,1,,1,1,,1,,1,,7,9,L
250,1,,1,1,,1,1,,,,1,,,,8,12,L
340,,1,1,1,,,,,,1,,1,,1,7,8,L
160,,1,1,1,1,,1,,,,,1,,,7,8,L
N,1,,,,,1,,,1,1,,1,,1,8,11,XL
020,,1,,,1,,,1,,1,,1,1,,6,10,L
070,1,,1,1,,,,,1,,1,,,1,8,9,L
E,,1,,,1,1,,,1,,,1,,1,7,13,XL
110,1,,,,,,,1,,1,,1,1,1,6,10,L
S,1,,,,,1,1,,1,1,,1,,,7,10,XL
290,,1,1,1,1,1,,,,,1,,,,7,8,L
C-NE,,1,1,1,1,,,,1,,1,,,,4,0,S
C-SE,1,,,,,,1,1,1,,1,,1,,3,0,S
C-SW,1,,,,,1,1,1,,,,1,1,,4,2,S
C-NW,,1,,,1,,1,1,,,,1,1,,4,0,S
